,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,56.0,143.01347400528346,10,0.7080741802779077,308.8324866806733,10,0.5197641395049548,202.83114180342326,10,0.4314179001676219,88.05743216740353,1.5,0.41282096247274896,176.6518475627741,10,0.35363941830708967,2.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,Policy 0,dikesnet
1,95.0,278.9749601063972,1.0,0.29995710307731727,59.51894973457874,1.0,0.6986176496381185,177.1881016685815,1.0,0.692117011742748,153.7552937586304,10,0.8740153703333037,241.8456973577629,1.5,0.2606940040485544,1.5,3.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,Policy 0,dikesnet
2,75.0,181.55608292818278,10,0.5653018418328478,230.6189457651302,1.0,0.2917863369002239,164.0662807920359,1.5,0.025527973957426536,271.48194379338855,1.0,0.28622509419695485,63.508020629908046,1.0,0.4770078585155373,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,Policy 0,dikesnet
3,10.0,89.52766920673052,1.5,0.47755554728690475,274.357379573463,1.0,0.28059730612490513,295.0319185860303,10,0.19945542794699117,133.000509466011,1.0,0.405645749342205,279.78504612137726,10,0.14481258968194557,1.5,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,Policy 0,dikesnet
4,16.0,83.89915681064298,10,0.5468631592003492,242.02118199804843,1.0,0.9370181155291991,335.31375798849945,1.0,0.3680782609964441,192.98646696147756,1.0,0.604522924893296,316.3933465597217,10,0.9241945204272651,4.5,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,Policy 0,dikesnet
5,39.0,295.7257640608211,10,0.7069416567856455,197.92228697405247,1.5,0.26901151320320815,52.09819589495058,1.5,0.803232479434586,300.47488867143886,1.0,0.5937719540198778,250.3924714984641,1.5,0.6295379343577154,4.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Policy 0,dikesnet
6,80.0,41.30141809871317,1.0,0.5777676486019797,316.28994178964246,1.5,0.7814643394494841,59.52534538909429,1.0,0.8380488242666061,225.2533877812029,10,0.6661188765571716,75.21246087436509,1.0,0.9225144888316795,1.5,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,Policy 0,dikesnet
7,78.0,133.19994260421737,10,0.8494738609399115,94.44804023484534,1.0,0.24301990797385994,155.20782876588308,10,0.10573162147302402,72.87929624052472,1.5,0.6590988458247007,35.78813629748129,1.5,0.19968269670807073,3.5,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,Policy 0,dikesnet
8,32.0,289.53422056968515,1.5,0.2901415790717345,159.82148123101769,1.0,0.39463406903898757,102.07661610127931,1.5,0.6864301915874855,41.583618576612665,1.5,0.06107864307900605,309.22108486103997,1.5,0.4308173066049393,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,Policy 0,dikesnet
9,5.0,117.25636490168186,10,0.569064027616552,136.96677739913173,1.0,0.021586657283049468,343.3233511087871,1.5,0.5131550852214725,197.13165419651796,1.0,0.3700344089066176,69.70243921760536,1.5,0.09706730879533919,1.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,Policy 0,dikesnet
